x2_1,y2_1,x2_2,y2_2,x2_3,y2_3,x2_4,y2_4,x2_5,y2_5,img_paths
85,161,141,104,132,43,56,57,42,94,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_33.png
90,128,130,86,110,60,64,67,48,100,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_34.png
81,173,151,82,121,39,26,33,16,111,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_35.png
103,140,131,111,147,8,62,62,38,94,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_36.png
90,128,133,111,112,48,58,55,30,116,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_37.png
73,131,139,119,120,46,36,50,54,110,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_38.png
91,158,150,98,120,47,41,29,39,111,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_39.png
152,141,153,136,113,63,31,30,78,100,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_40.png
78,138,170,118,119,44,31,23,43,113,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_41.png
82,136,142,113,113,44,60,62,30,108,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_42.png
89,142,138,99,125,36,65,65,43,97,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_43.png
90,150,150,111,125,37,46,34,33,113,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_44.png
88,142,168,110,117,37,58,52,21,120,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_45.png
101,148,138,110,132,31,39,47,24,113,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_46.png
85,137,141,103,112,52,57,59,40,109,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_47.png
79,159,157,102,121,51,30,13,28,113,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_48.png
100,150,129,107,135,28,58,55,38,100,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_49.png
101,141,131,106,144,19,59,56,37,93,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_50.png
83,165,152,109,145,17,59,45,15,113,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_51.png
91,141,151,111,112,39,62,55,14,111,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_52.png
98,144,130,107,140,13,58,59,34,98,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_53.png
84,135,166,116,116,41,52,45,39,118,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_54.png
86,136,163,108,113,40,59,46,39,117,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_55.png
92,123,122,104,102,53,74,70,56,90,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_56.png
103,149,138,101,123,43,54,54,42,99,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_57.png
79,139,130,91,116,65,50,52,45,101,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_58.png
88,158,155,105,123,46,39,26,35,111,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_59.png
84,130,144,96,112,64,46,34,52,105,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_60.png
77,149,157,107,135,27,52,46,28,110,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_61.png
92,128,137,112,107,54,60,53,31,110,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_62.png
80,147,165,114,134,26,46,31,33,114,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_63.png
85,133,164,105,113,55,50,49,40,116,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_64.png
84,151,149,109,128,34,36,29,43,108,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_65.png
98,152,148,108,142,19,40,27,8,116,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_66.png
83,145,147,107,123,35,58,56,32,102,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_67.png
92,127,139,106,108,57,64,59,37,102,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_68.png
99,152,142,107,155,7,57,50,18,105,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_69.png
93,147,137,102,137,37,57,49,37,106,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_70.png
72,131,128,91,113,68,37,28,53,104,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_71.png
94,154,153,115,115,26,55,45,9,109,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_72.png
83,157,132,106,125,46,56,56,48,98,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_73.png
86,158,143,105,130,37,39,33,40,110,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_74.png
90,128,130,103,114,50,69,71,51,94,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_75.png
90,123,141,106,112,56,66,60,36,112,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_76.png
97,154,148,113,134,40,48,41,23,105,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_77.png
83,142,165,106,121,35,57,49,25,117,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_78.png
72,133,143,97,120,56,31,22,49,105,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_79.png
91,177,172,107,145,16,51,40,13,102,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_80.png
88,158,147,105,137,24,56,46,23,107,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_81.png
98,128,139,112,113,52,63,60,26,106,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_82.png
93,137,154,111,108,43,63,57,19,113,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_83.png
93,155,142,108,141,26,61,52,21,109,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_84.png
102,132,127,107,148,21,65,67,38,96,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_85.png
83,146,156,103,124,46,54,47,26,113,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_86.png
89,167,149,93,125,48,44,32,23,107,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_88.png
100,147,137,109,124,48,51,56,39,98,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_89.png
84,112,141,109,103,67,75,60,65,107,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_90.png
83,147,133,92,117,59,42,36,47,104,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_91.png
87,149,171,112,124,28,53,44,19,118,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_92.png
89,176,170,102,142,23,48,41,11,110,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_93.png
105,135,129,101,134,23,61,61,44,91,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_94.png
86,143,162,98,124,46,56,50,26,120,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_95.png
76,129,127,88,112,62,54,57,49,101,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_96.png
96,121,118,107,121,48,68,70,49,91,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_97.png
96,137,140,110,122,30,64,54,16,103,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_98.png
80,154,141,94,119,58,37,23,46,106,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_99.png
79,138,133,92,118,54,53,48,53,104,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_100.png
102,132,125,105,130,34,60,59,43,94,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_101.png
86,160,165,97,133,31,57,40,13,113,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_102.png
93,130,137,106,115,44,62,52,23,108,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_103.png
84,129,152,93,113,59,29,38,52,108,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_104.png
91,125,125,110,116,51,65,57,27,107,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_105.png
100,152,141,105,138,12,59,54,37,100,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_106.png
88,127,137,112,109,51,67,60,19,116,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_107.png
82,132,155,92,116,58,64,34,46,109,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_108.png
86,135,157,101,112,52,54,54,27,114,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_109.png
98,129,126,105,113,34,69,69,48,93,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_110.png
82,135,164,88,106,41,56,47,35,116,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_111.png
95,139,137,108,124,43,56,58,37,95,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_112.png
75,150,158,105,132,25,50,50,23,107,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_113.png
94,128,138,111,111,46,65,54,16,115,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_114.png
90,150,144,108,123,41,44,33,36,109,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_115.png
102,153,141,108,140,35,52,51,33,98,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_116.png
91,175,144,99,137,32,52,50,37,97,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_117.png
83,175,161,107,145,6,53,50,21,98,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_118.png
84,137,136,89,112,60,53,49,38,106,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_119.png
85,122,135,82,107,63,48,48,56,106,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_120.png
96,160,151,104,140,27,57,51,32,103,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_121.png
111,158,161,108,133,37,28,21,20,115,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_122.png
89,133,148,107,115,46,65,56,26,114,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_123.png
90,139,163,102,116,52,56,40,24,119,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_124.png
82,143,157,99,120,54,44,15,40,106,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_125.png
99,140,151,110,117,41,50,37,19,111,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_126.png
101,135,129,102,137,28,56,58,37,98,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_127.png
87,125,143,100,108,62,74,54,52,105,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_128.png
81,133,163,109,115,41,49,36,43,110,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_129.png
86,138,166,110,122,38,55,38,29,113,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_130.png
100,125,117,90,113,57,68,72,62,96,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_131.png
106,135,141,108,112,27,62,54,22,91,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_132.png
104,131,125,101,135,17,71,75,62,90,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_133.png
94,130,125,98,113,60,59,61,52,98,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_134.png
88,159,172,103,125,46,45,24,8,119,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_135.png
85,145,130,87,119,55,59,59,47,99,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_136.png
87,155,161,93,120,50,42,25,19,112,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_137.png
96,130,137,105,108,45,71,59,22,102,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_138.png
79,157,161,101,138,23,35,22,37,109,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_139.png
92,132,138,110,108,45,65,54,24,113,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_140.png
87,149,139,103,125,33,47,48,42,107,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_141.png
96,125,126,104,120,47,59,56,38,95,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_142.png
76,128,149,93,115,58,33,24,54,108,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_143.png
70,137,152,108,131,31,41,47,44,112,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_144.png
98,145,134,104,124,51,49,45,40,102,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_145.png
75,156,157,111,141,19,43,35,28,118,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_146.png
85,169,155,108,144,14,54,45,18,111,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_147.png
100,160,134,102,139,29,48,41,37,104,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_148.png
81,123,144,89,115,64,74,41,56,108,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_149.png
96,122,120,101,123,39,68,66,41,97,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_150.png
102,125,122,101,127,45,58,55,45,100,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_151.png
91,158,150,82,130,45,52,49,26,99,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_152.png
90,151,139,107,125,36,40,41,41,108,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_153.png
81,120,116,86,107,59,63,68,68,98,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_154.png
80,120,138,108,108,63,44,52,61,103,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_155.png
100,155,140,106,134,27,39,32,29,110,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_156.png
90,169,173,104,135,30,47,37,5,115,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_157.png
79,148,156,104,132,28,51,47,29,109,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_158.png
99,130,131,102,112,57,58,55,46,102,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_159.png
93,161,142,90,122,54,40,43,41,109,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_160.png
93,157,150,96,120,51,40,30,32,106,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_161.png
87,160,139,109,137,24,56,53,30,105,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_162.png
92,166,154,112,143,15,51,45,10,110,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_163.png
93,172,140,100,136,30,42,35,39,106,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_165.png
89,131,137,106,113,51,63,51,44,107,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_166.png
88,149,158,95,126,34,62,52,21,109,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_167.png
81,138,171,113,119,38,54,39,36,117,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_168.png
95,127,127,103,127,40,67,66,43,93,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_169.png
78,133,144,91,114,54,46,43,44,106,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_170.png
89,153,157,106,133,31,59,54,25,103,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_171.png
78,141,143,107,110,35,60,58,30,102,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_172.png
80,141,151,108,118,50,40,28,45,104,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_174.png
89,127,138,99,110,66,60,53,45,104,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_175.png
98,162,142,90,125,58,41,33,32,101,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_176.png
90,129,148,102,104,53,68,56,31,102,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_177.png
93,113,119,106,98,63,72,66,44,114,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_178.png
78,146,138,100,129,40,56,50,47,104,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_179.png
82,143,135,103,129,54,48,44,53,102,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_180.png
84,128,150,116,113,61,56,54,51,113,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_181.png
80,144,160,113,127,29,48,34,31,113,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_182.png
100,132,133,110,128,34,61,62,33,97,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_183.png
76,133,149,111,129,39,48,44,44,106,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_184.png
95,132,141,113,113,45,65,61,25,105,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_185.png
102,156,145,104,137,14,58,57,29,101,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_186.png
78,132,146,91,118,59,31,19,52,104,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_187.png
89,158,140,106,138,29,43,47,38,113,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_188.png
94,159,150,111,128,45,38,24,30,110,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_189.png
79,137,153,95,123,48,34,38,44,108,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_190.png
96,148,132,97,128,44,60,62,48,100,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_191.png
82,149,126,86,116,62,47,48,55,102,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_192.png
81,150,132,100,125,47,59,53,50,103,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_193.png
76,143,155,93,123,50,38,32,41,117,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_194.png
81,153,133,102,127,31,60,65,44,94,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_195.png
96,127,121,102,156,5,56,51,17,104,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_196.png
96,144,130,102,136,24,61,64,46,92,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_197.png
79,134,138,92,113,59,38,27,49,103,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_198.png
79,152,143,89,130,51,42,37,44,105,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_199.png
84,129,163,101,110,56,58,49,36,111,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_200.png
75,141,133,99,116,55,48,54,47,105,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_201.png
83,155,154,103,129,25,54,52,25,108,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_202.png
82,155,174,98,115,24,51,47,4,106,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_203.png
86,147,131,101,115,54,52,44,51,105,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_204.png
96,151,137,102,140,22,53,49,27,108,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_205.png
103,178,148,87,133,49,36,42,27,94,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_206.png
84,169,170,107,123,44,33,6,11,115,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_207.png
100,146,142,110,136,17,58,59,31,101,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_208.png
80,139,145,97,116,58,35,22,43,107,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_209.png
88,142,147,112,121,43,57,39,34,113,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_210.png
82,131,157,92,113,57,67,36,45,108,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_211.png
86,159,124,97,118,54,57,58,56,97,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_212.png
104,121,114,96,122,74,64,71,52,97,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_213.png
83,122,153,98,106,63,71,54,52,109,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_214.png
102,139,135,106,147,21,55,52,27,98,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_215.png
97,137,132,104,130,43,54,55,37,97,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_216.png
90,177,164,94,131,33,38,31,10,107,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_217.png
100,149,139,102,147,24,47,35,24,111,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_218.png
83,151,151,94,128,39,53,49,30,110,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_219.png
97,141,135,109,139,20,56,48,16,110,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_220.png
98,139,135,115,130,24,57,45,7,111,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_221.png
82,130,154,104,115,62,59,34,50,104,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_222.png
74,143,145,105,134,36,58,53,36,107,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_223.png
82,137,143,91,122,59,53,39,43,105,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_224.png
71,145,135,87,116,55,30,43,42,104,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_225.png
81,138,137,92,115,60,40,33,54,105,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_226.png
82,121,139,90,111,60,36,30,62,105,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_227.png
92,138,129,103,116,49,49,52,47,104,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_228.png
80,123,141,94,113,53,51,45,54,104,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_229.png
90,161,151,107,134,29,43,26,31,112,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_230.png
91,160,160,103,135,32,55,47,23,103,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_231.png
104,133,131,112,133,17,58,64,31,100,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_232.png
74,131,167,117,114,48,71,31,47,113,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_233.png
86,149,178,111,131,30,29,21,34,114,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_234.png
94,119,119,96,104,72,66,66,60,97,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_235.png
82,143,162,104,133,34,52,42,31,113,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_236.png
97,129,127,104,102,46,68,72,47,91,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_237.png
78,124,136,83,116,64,78,41,54,104,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_238.png
79,137,151,85,120,54,74,32,40,109,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_239.png
95,157,140,112,136,24,40,48,32,117,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_240.png
95,129,122,105,127,28,63,63,37,95,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_241.png
81,142,174,110,128,33,54,35,28,116,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_242.png
79,136,155,101,129,38,54,42,46,114,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_243.png
98,135,134,107,132,28,56,49,18,110,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_244.png
97,125,128,99,113,58,58,62,47,106,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_245.png
81,144,153,106,131,31,44,34,43,108,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_246.png
87,161,173,108,135,27,53,42,7,116,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_247.png
89,125,152,93,102,54,63,52,52,111,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_248.png
92,142,145,109,130,33,52,44,15,107,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_249.png
83,151,155,105,134,26,54,48,23,110,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_250.png
90,124,147,104,109,60,64,61,47,111,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_251.png
93,134,123,90,108,67,55,54,55,102,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_252.png
93,139,135,110,117,38,57,55,26,112,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_253.png
92,140,137,112,127,34,57,45,21,110,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_254.png
81,134,149,96,113,60,51,36,44,112,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_255.png
84,163,158,107,141,28,34,21,31,112,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_256.png
97,142,141,106,135,42,52,53,29,99,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_257.png
89,128,135,108,110,46,66,62,21,102,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_258.png
75,137,154,88,120,55,39,30,37,111,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_259.png
89,156,132,93,126,54,60,57,47,101,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_260.png
86,128,137,86,114,65,39,44,53,107,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_261.png
